FECHA;DEMANDA_GBA;TEMP_AVG;TIPO_DIA
2022-06-12;169098;9.81;D
2022-06-13;182400;12.48;H
2022-06-14;180917;13.08;H
2022-06-15;175025;13.33;H
2022-06-16;173712;12.42;H
2022-06-17;177239;8.99;F
2022-06-18;176020;9.25;SA
2022-06-19;158067;11.58;D
2022-06-20;167481;10.44;F
2022-06-21;185973;11.43;H
2022-06-22;210272;7.35;H
2022-06-23;209728;8.26;H
2022-06-24;199368;9.95;H
2022-06-25;188170;7.42;SA
2022-06-26;183995;8.92;D
2022-06-27;199390;10.35;H
2022-06-28;194769;11.25;H
2022-06-29;183723;13.14;H
2022-06-30;174323;12.65;H
2022-07-01;191151;11.09;H
2022-07-02;172279;10.02;SA
2022-07-03;170863;8.45;D
2022-07-04;193693;11.72;H
2022-07-05;183333;11.73;H
2022-07-06;190024;11.98;H
2022-07-07;186637;10.73;H
2022-07-08;195329;9.48;H
2022-07-09;160044;14.86;F
2022-07-10;133725;18.31;D
2022-07-11;180444;11.23;H
2022-07-12;195027;8.38;H
2022-07-13;190848;11.25;H
2022-07-14;183613;12.04;H
2022-07-15;189328;10.77;H
2022-07-16;183305;9.86;SA
2022-07-17;172750;8.67;D
2022-07-18;185885;11.06;H
2022-07-19;185706;9.79;H
2022-07-20;171489;13.94;H
2022-07-21;162438;13.94;H
2022-07-22;166470;12.61;H
2022-07-23;151463;14.63;SA
2022-07-24;136061;14.91;D
2022-07-25;162859;14.71;H
2022-07-26;148113;18.4;H
2022-07-27;144271;17.9;H
2022-07-28;157919;13.18;H
2022-07-29;167006;11.95;H
2022-07-30;145252;14.13;SA
2022-07-31;133529;14.14;D
2022-08-01;153412;13.31;H
2022-08-02;160266;13.71;H
2022-08-03;166733;12.56;H
2022-08-04;179587;9.92;H
2022-08-05;174835;10.32;H
2022-08-06;157104;11.15;SA
2022-08-07;150048;11.4;D
2022-08-08;178199;10.45;H
2022-08-09;180373;11.84;H
2022-08-10;176001;11.9;H
2022-08-11;167945;13.73;H
2022-08-12;155726;15.1;H
2022-08-13;128439;17.2;SA
2022-08-14;111523;18.81;D
2022-08-15;121643;15.17;F
2022-08-16;156023;13.88;H
2022-08-17;168896;12.25;H
2022-08-18;183591;8.95;H
2022-08-19;177263;11.02;H
2022-08-20;152611;13.11;SA
2022-08-21;138235;12.86;D
2022-08-22;160996;11.86;H
2022-08-23;157309;14.81;H
2022-08-24;144121;14.67;H
2022-08-25;132532;15.25;H
2022-08-26;127742;18.85;H
2022-08-27;121074;16.55;SA
2022-08-28;142353;9.03;D
2022-08-29;165305;10.69;H
2022-08-30;159532;13.73;H
2022-08-31;144405;15.12;H
2022-09-01;143683;16.47;H
2022-09-02;144763;12.61;F
2022-09-03;136428;12.53;SA
2022-09-04;123174;15.7;D
2022-09-05;135771;16.51;H
2022-09-06;135279;16.23;H
2022-09-07;129214;19.19;H
2022-09-08;130406;18.17;H
2022-09-09;154257;10.56;H
2022-09-10;142043;11.92;SA
2022-09-11;128820;13.23;D
2022-09-12;138999;14.35;H
2022-09-13;140778;14.38;H
2022-09-14;137873;15.61;H
2022-09-15;133976;16.78;H
2022-09-16;130106;18.34;H
2022-09-17;114452;19.74;SA
2022-09-18;104424;18.73;D
2022-09-19;122662;18.3;H
2022-09-20;134121;12.82;H
2022-09-21;137070;13.46;H
2022-09-22;139282;12.77;H
2022-09-23;138285;12.22;H
2022-09-24;117369;17.56;SA
2022-09-25;107106;17.21;D
2022-09-26;122544;17.96;H
2022-09-27;124128;18.86;H
2022-09-28;129142;14.38;H
2022-09-29;133641;14.78;H
2022-09-30;129773;16.4;H
2022-10-01;114423;17.78;SA
2022-10-02;104158;19.65;D
2022-10-03;123892;15.08;H
2022-10-04;129515;15.64;H
2022-10-05;126861;18.14;H
2022-10-06;124563;17.66;H
2022-10-07;111730;20.78;F
2022-10-08;109346;15.8;SA
2022-10-09;111669;13.51;D
2022-10-10;109461;15.4;F
2022-10-11;124523;16.55;H
2022-10-12;126228;21.5;H
2022-10-13;124459;16.88;H
2022-10-14;129096;14.08;H
2022-10-15;124436;13.86;SA
2022-10-16;110158;15.5;D
2022-10-17;125788;16.77;H
2022-10-18;127153;18.37;H
2022-10-19;126134;19.61;H
2022-10-20;126650;20.82;H
2022-10-21;125259;18.97;H
2022-10-22;119807;13.02;SA
2022-10-23;112224;14.88;D
2022-10-24;124620;19.77;H
2022-10-25;127627;21.9;H
2022-10-26;126528;20.44;H
2022-10-27;126507;21.27;H
2022-10-28;134295;25.78;H
2022-10-29;125164;24.65;SA
2022-10-30;108743;15.7;D
2022-10-31;130496;12.87;H
2022-11-01;130692;15.08;H
2022-11-02;126799;20.15;H
2022-11-03;127146;19.99;H
2022-11-04;125130;19.45;H
2022-11-05;112261;19.93;SA
2022-11-06;104080;20.77;D
2022-11-07;124321;21.21;H
2022-11-08;126522;20.94;H
2022-11-09;129387;21.7;H
2022-11-10;132206;22.65;H
2022-11-11;138214;23.83;H
2022-11-12;125610;24.05;SA
2022-11-13;115245;22.58;D
2022-11-14;122295;19.02;H
2022-11-15;135064;23.94;H
2022-11-16;156114;26.72;H
2022-11-17;159049;26.06;H
2022-11-18;159692;26;H
2022-11-19;151592;27.42;SA
2022-11-20;130156;24.31;F
2022-11-21;108201;17.3;F
2022-11-22;118273;18.84;H
2022-11-23;132910;22.83;H
2022-11-24;162468;27.66;H
2022-11-25;149820;21.91;H
2022-11-26;145499;25.3;SA
2022-11-27;146362;26.26;D
2022-11-28;177358;26.83;H
2022-11-29;186798;27.83;H
2022-11-30;176766;25.9;H
2022-12-01;138815;20.96;H
2022-12-02;136717;20.99;H
2022-12-03;128580;22.76;SA
2022-12-04;136797;25.46;D
2022-12-05;185025;28.42;H
2022-12-06;198343;29.16;H
2022-12-07;200576;29.96;H
2022-12-08;177980;29.01;F
2022-12-09;185286;30.21;F
2022-12-10;152972;26.22;SA
2022-12-11;169040;29.3;D
2022-12-12;150966;22.61;H
2022-12-13;144428;21.5;H
2022-12-14;171675;26.29;H
2022-12-15;159802;23.29;H
